"%s","%s"
"%s already exist.","%s on jo olemassa."
"%s already exists.","%s on jo olemassa."
"-- Please Select --","-- Valitse --"
"Alternative text for next link in pagination menu. If empty, default arrow image will used.","Vaihtoehtoinen Seuraava sivu -teksti. Tyhjänä käytetään oletusnuolen kuvaa."
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.","Vaihtoehtoinen edellinen sivu -teksti. Tyhjänä käytetään oletusnuolen kuvaa."
"An error occurred while saving. Please review the error log.","Tallennettaessa tapahtui virhe. Katso lokitiedostosta lisätietoja."
"Anchor Text for Next","Ankkuri seuraava-linkin teksti"
"Anchor Text for Previous","Ankkuri edellinen-linkin teksti"
"Anchor symbol (#) is not supported in request path","Ankkurimerkki (#) ei ole tuettu pyydetyssä polussa."
"Anchor symbol (#) is not supported in url rewrite suffix","Ankkurimerkki (#) ei ole tuettu url-uudelleenohjausloppuliitteessä."
"Are you sure?","Vahvista toiminnon suorittaminen"
"Auto-redirect to Base URL","Uudelleenohjaa juuriosoitteeseen"
"Back","Takaisin"
"Backup Options","Varmuuskopion asetukset"
"Base JavaScript URL","JavaScript juuriosoite"
"Base Link URL","Linkkien juuriosoite"
"Base Media URL","Median juuriosoite"
"Base Secure URL","Salauksen juuriosoite"
"Base Skin URL","Ulkoasun juuriosoite"
"Base URL","Juuriosoite"
"Base Unsecure URL","Salaamaton juuriosoite"
"Before modifying the store view code please make sure that it is not used in index.php.","Ennen kuin muutat kauppanäkymän koodia, tarkista ettei index.php käytä sitä."
"Before modifying the website code please make sure that it is not used in index.php.","Ennen kuin muutat sivuston koodia, tarkista ettei index.php käytä sitä."
"Block with name ""%s"" already exists","""%s"" -niminen sisältölohko on jo olemassa."
"Blocks HTML output","Blocks HTML output"
"Browser Capabilities Detection","Selaimen ominaisuuksien tunnistus"
"CSS Settings","CSS-asetukset"
"Cache Storage Management","Välimuisti"
"Cache storage may contain additional data. Are you sure that you want flush it?","Välimuisti voi sisältää myös muiden sivustojen tuottamaa tietoa. Tyhjennetäänkö koko välimuisti?"
"Can not create invoice. Order was not found.","Laskua ei voi lisätä. Tilausta ei löydy."
"Can't retrieve request object","Pyydettyä kohdetta ei voida noutaa."
"Can't retrieve entity config: %s","Can't retrieve entity config: %s"
"Cancel","Peruuta"
"Cannot complete this operation from non-admin area.","Tätä toimintoa ei voida suorittaa ylläpidon ulkopuolelta."
"CAPTCHA Timeout (minutes)","CAPTCHA aikakatkaisu (minuutteina)"
"Card type does not match credit card number.","Korttityyppi ei täsmää luottokortin numeron kanssa."
"Case Sensitive","Erottelee pienet ja isot kirjaimet"
"Code","Koodi"
"Controller file was loaded but class does not exist","Ohjaustiedosto noudettiin, mutta luokkaa ei ole ole."
"Cookie Domain","Evästeen palvelin"
"Cookie Lifetime","Evästeen elinaika (sekunteina)"
"Cookie Path","Evästeen polku"
"Cookie Restriction Mode","Evästeiden estotila"
"Copyright","Tekijänoikeudet"
"Core","Core"
"Countries Options","Maakohtaiset asetukset"
"Country","Maa"
"Create Store","Lisää kauppa"
"Create Store View","Lisää kauppanäkymä"
"Create Website","Lisää sivusto"
"Credit card number does not match credit card type.","Luottokortin numero ei täsmää luottokortin tyypin kanssa."
"Current Package Name","Nykyisen paketin nimi"
"Custom Admin Path","Mukailtu ylläpidon polku"
"Custom Admin URL","Mukailtu ylläpidon URL"
"Custom Design","Mukailtu ulkoasu"
"Custom Email 1","Lisäsähköposti 1"
"Custom Email 2","Lisäsähköposti 2"
"Custom Variables","Muuttujien muokkaus"
"Custom1 Contact Email","Muokattu1 yhteyssähköpostiosoite"
"Custom1 Contact Name","Muokattu1 yhteydenottonimi"
"Custom2 Contact Email","Muokattu2 yhteyssähköpostiosoite"
"Custom2 Contact Name","Muokattu2 yhteydenottonimi"
"Customer Support","Asiakaspalvelu"
"Dashboard","Ilmoitustaulu"
"Date From","Päivämäärästä"
"Date To","Päivämäärään"
"Date/time format ""%s"" is not supported.","Päivä-/aikamuoto ""%s"" ei ole tuettu."
"Debug","Virheiden haku (debug)"
"Default","Oletus"
"Default Country","Oletusmaa"
"Default Description","Oletuskuvaus"
"Default Keywords","Oletusavainsanat"
"Default No-route URL","Ei löydy -sivun oletusosoite"
"Default Pages","Oletussivut"
"Default Robots","Oletushakurobotit"
"Default Store","Oletuskauppa"
"Default Store View","Oletuskauppanäkymä"
"Default Title","Oletusotsikko"
"Default Web URL","Oletussivun osoite"
"Delete","Poista"
"Delete Store","Poista kauppa"
"Delete Store View","Poista kauppanäkymä"
"Delete Website","Poista sivusto"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Poistamalla %1$s ei poisteta tietoon liitettyä kohdetta %1$s (esim. luokat, tuotteet, jne.), mutta kohdetta %1$s ei voida palauttaa. Tietokannasta on suositeltavaa ottaa  varmuuskopio ennen kohteen %1$s poistamista."
"Design","Ulkoasu"
"Design Change","Ulkoasun vaihtaminen"
"Developer","Kehittäjä"
"Developer Client Restrictions","Kehittäjän asettamat rajoitukset"
"Disable Email Communications","Poista sähköpostien lähetys käytöstä"
"Displaying Mode","Näytetään"
"Disable Modules Output","Disable Modules Output"
"Display Demo Store Notice","Näytä Demokaupan ilmoitus"
"Duplicate Of Template Name","Mallipohjan nimen kaksoiskappale"
"Edit Design Change","Muokkaa ulkoasun vaihtoa"
"Edit Store","Muokkaa kauppaa"
"Edit Store View","Muokkaa kauppanäkymää"
"Edit Website","Muokkaa sivustoa"
"Empty identifier field name","Tyhjennä tunnistekentän nimi WK?"
"Empty main table name","Tyhjennä päätaulun nimi WK?"
"Enable Charts","Ota käyttöön kaaviot"
"Enabled","Käytössä"
"Enabled for Admin","Käytössä ylläpidon puolella"
"Enabled for Frontend","Käytössä kaupan puolella"
"Environment Update Time","Environment Update Time"
"Error in file: ""%s"" - %s","Virhe tiedostossa: ""%s"" - %s"
"European Union Countries","Euroopan Unionin maat"
"Exceptions Log File Name","Poikkeukset -lokin tiedostonimi"
"Favicon Icon","Favicon-ikoni"
"File %s does not exist","Tiedostoa %s ei ole."
"File %s is not readable","Tiedosto %s ei ole luettava."
"File not found","Tiedostoa ei löydy."
"File system","Tiedostojärjestelmä"
"File with an extension ""%value%"" is protected and cannot be uploaded","""%value%"" -päätteinen tiedosto on suojattu ja sitä ei voi noutaa."
"First Day of Week","Viikon ensimmäinen päivä"
"Flush Cache Storage","Tyhjennä koko välimuisti"
"Flush Magento Cache","Tyhjennä Magenton välimuisti"
"Font","Fontti"
"Footer","Alatunniste"
"Forgot Password Email Sender","Unohtunut salasana -sähköpostin lähettäjä"
"Forgot Password Email Template","Unohtunut salasana -sähköpostin mallipohja"
"Forms","Lomakkeet"
"General","Yleinen"
"General Contact","Yleinen yhteystieto"
"General Contact Email","Yleinen yhteyssähköposti"
"General Contact Name","Yleinen yhteydenottonimi"
"General Settings","Yleiset asetukset"
"Get info about current Magento installation","Nouda tietoja nykyisestä Magento-asennuksesta"
"Global","Globaali"
"HTML Head","HTML Head"
"HTML tags are not allowed","HTML-tagit eivät ole sallittuja."
"Header","Ylätunniste"
"Host","Isäntäpalvelin"
"How many links to display at once.","Kuinka monta linkkiä näytetään kerralla."
"ID Path for Specified Store","Id-polku määritellylle kaupalle"
"I.e. redirect from http://example.com/store/ to http://www.example.com/store/","Esimerkiksi osoitteesta http://esimerkki.fi/kauppa/ osoitteeseen http://www.esimerkki.fi/kauppa/"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Arvolla 0, CAPTCHA on aina käytössä sisäänkirjauduttaessa."
"If the current frame position does not cover utmost pages, will render link to current position plus/minus this value.","If the current frame position does not cover utmost pages, will render link to current position plus/minus this value."
"Incorrect credit card expiration date.","Virheellinen luottokortin viimeinen voimassaoloaika."
"Input type ""%value%"" not found in the input types list.","Syöttömuotoa ""%value%" ei löydy syöttömuotojen luettelosta."
"Invalid URL '%value%'.","Virheellinen URL-osoite '%value'."
"Invalid base url type","Juuriosoitteen tyyppi on virheellinen."
"Invalid block name to set child %s: %s","Invalid block name to set child %s: %s"
"Invalid block type: %s","Virheellinen sisältölohkon tyyppi: %s"
"Invalid block: %s","Virheellinen sisältölohko: %s"
"Invalid connection","Virheellinen yhteys"
"Invalid layout update handle","Sommitelman käsittely on virheellinen. WK?"
"Invalid messages storage ""%s"" for layout messages initialization","Invalid messages storage ""%s"" for layout messages initialization"
"Invalid query","Virheellinen hakulauseke."
"Invalid transactional email code: ","Virheellinen maksutapahtumasähköpostin koodi. "
"Invalid transactional email code: %s","Virheellinen maksutapahtumasähköpostin koodi: %s"
"Invalid website's configuration path: %s","Virheellinen sivuston asetuksen polku: %s"
"JavaScript Settings","JavaScript"
"Layout","Sommitelma"
"Leave empty for access from any location.","Tyhjä sallii pääsyn mistä tahansa."
"List of stores","Luettelo kaupoista"
"Locale","Kieli"
"Locale Options","Paikallisasetukset"
"Log Settings","Loki"
"Logging from Mage::log(). File is located in {{base_dir}}/var/log","Lokimerkintä koodin kohdasta Mage::log(). Tiedosto sijaitsee osoitteessa /var/log"
"Logging from Mage::logException(). File is located in {{base_dir}}/var/log","Lokimerkintä koodin kohdasta Mage::logException(). Tiedosto sijaitsee osoitteessa /var/log"
"Login is Case Sensitive","Kirjautuminen huomioi isot ja pienet kirjaimet"
"Logo Image","Logo-kuva"
"Logo Image Alt","Logo-kuvan teksti hiiren ollessa päällä"
"Logo Image Src","Logo-kuvan osoite"
"Magento info","Magenton tiedot"
"Magento info API","Magento tietojen API"
"Mail Sending Settings","Sähköpostin lähetysasetukset"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Varmista että juuriosoite loppuu '/' , esim. http://palvelin.fi/magento/"
"Manage Stores","Kaupat"
"Match expressions in the same order as displayed in the configuration.","Match expressions in the same order as displayed in the configuration."
"Media Storage","Median sijainti"
"Merge CSS Files","Yhdistä CSS-tiedostot"
"Merge JavaScript Files","Yhdistä JavaScript-tiedostot"
"Miscellaneous HTML","Muu HTML-sisältö"
"Miscellaneous Scripts","Muut skriptit"
"Model collection resource name is not defined.","Model collection resource name is not defined."
"Module ""%1$s"" cannot depend on ""%2$s"".","Moduuli ""%1$s"" ei voi riippua moduulista ""%2$s""."
"Module ""%1$s"" requires module ""%2$s"".","Moduuli ""%1$s"" vaatii moduulin ""%2$s""."
"Name","Nimi"
"New Design Change","Uusi ulkoasun muutos"
"New Store","Uusi kauppa"
"New Store View","Uusi kauppanäkymä"
"New Website","Uusi sivusto"
"No","Ei"
"Number of Unsuccessful Attempts to Login","Sallittu epäonnistuneiden sisäänkirjautumisten määrä"
"Number of Symbols","Merkkien määrä"
"Offloader header","Offloader header"
"PHP SOAP extension is required.","Vaaditaan PHP SOAP laajennus."
"Package","Paketti"
"Pagination","Sivutus"
"Pagination Frame","Sivutusperuste"
"Pagination Frame Skip","Sivutusperusteen ohitus"
"Parent directory does not exist: %s","Isäntähakemistoa ei ole: %s"
"Path ""%value%"" is not available and cannot be used.","Polku ""%value%"" ei ole käytettävissä."
"Path ""%value%"" is protected and cannot be used.","Polku ""%value%"" on suojattu ja sitä ei voida käyttää."
"Path ""%value%"" may not include parent directory traversal (""../"", ""..\\).""","Polku ""%value%"" ei saa sisältää isäntähakemiston taaksepäin-ohjauksia (""../"", ""..\\)."""
"Please define flag code.","Määritä lipun koodi."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Kirjoita vähintään 6 merkkiä. Alussa tai lopussa olevia välilyöntejä ei oteta huomioon."
"Please enter 7 or more characters. Password should contain both numeric and alphabetic characters.","Kirjoita vähintään 7 merkkiä. Salasanan tulee sisältää sekä numeroita että kirjaimia."
"Please enter a number 0 or greater in this field.","Kirjoita numero 0 tai suurempi."
"Please enter a number 1 or greater in this field.","Kirjoita numero 1 tai suurempi."
"Please enter a number greater than 0 in this field.","Kirjoita suurempi numero kuin 0."
"Please enter a number lower than 100.","Kirjoita pienempi luku kuin 100."
"Please enter a valid $ amount. For example $100.00.","Kirjoita summa. Esimerkiksi €100.00."
"Please enter a valid URL Key. For example ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"".","Kirjoita URL-avain. Esimerkiksi ""esimerkki-sivu"",""esimerkki-sivu.html"" tai ""toinentaso/esimerkki-sivu""."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Kirjoita URL-osoite. Esimerkiksi http://www.esimerkki.fi tai www.esimerkki.fi"
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://)","Kirjoita URL-osoite. Vaaditaan protokolla (http://, https:// tai ftp://)"
"Please enter a valid XML-identifier. For example something_1, block5, id-4.","Kirjoita XML-tunniste. Esimerkiksi jotain_1, lohko5, id-4."
"Please enter a valid credit card number.","Kirjoita luottokortin numero."
"Please enter a valid credit card verification number.","Kirjoita luottokortin varmennusnumero."
"Please enter a valid date between %s and %s","Anna päivämäärä väliltä %s ja %s"
"Please enter a valid date equal to or greater than %s","Anna päivämäärä joka on sama tai suurempi kuin %s"
"Please enter a valid date less than or equal to %s","Anna päivämäärä joka on sama tai pienempi kuin %s"
"Please enter a valid date.","Kirjoita viimeinen voimassaoloaika."
"Please enter a valid day (1-%d).","Anna päivämäärä (1-%d)."
"Please enter a valid email address. For example johndoe@domain.com.","Kirjoita sähköpostiosoite muodossa nimi@osoite.fi"
"Please enter a valid fax number. For example (123) 456-7890 or 123-456-7890.","Kirjoita faksinumero. Esimerkiksi 040 123 4567."
"Please enter a valid full date","Kirjoita päivämäärä täydellisenä."
"Please enter a valid month (1-12).","Kirjoita kuukausi (1-12)."
"Please enter a valid number in this field.","Kirjoita kenttään numero. Käytä pistettä pilkun sijaan."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Kirjoita puhelinnumero muodossa 040 123 4567"
"Please enter a valid social security number. For example 123-45-6789.","Kirjoita henkilötunnus muodossa ppkkvv-123A"
"Please enter a valid year (1900-%d).","Kirjoita vuosi (1900-%d)."
"Please enter a valid zip code.","Kirjoita postinumero."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Kirjoita postinumero. Esimerkiksi 70100"
"Please enter issue number or start date for switch/solo card type.","Please enter issue number or start date for switch/solo card type."
"Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%.","Anna CSS-pituus. Esimerkiksi 100px tai 77pt tai 20em tai .5ex tai 50%."
"Please make sure your passwords match.","Tarkista että salasanat täsmäävät."
"Please select State/Province.","Valitse maakunta"
"Please select a file","Valitse tiedosto"
"Please select an option.","Valitse jokin vaihtoehto."
"Please select one of the above options.","Valitse yksi yllä olevista vaihtoehdoista."
"Please select one of the options.","Valitse yksi vaihtoehdoista."
"Please set available and/or protected paths list(s) before validation.","Please set available and/or protected paths list(s) before validation."
"Please specify either a category or a product, or both.","Määrittele luokka, tuote tai molemmat."
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Määritä enintään 8 merkkiä tai alue (esim. 3-5)."
"Please use letters only (a-z or A-Z) in this field.","Käytä vain kirjaimia (a-z tai A-Z) tässä kentässä."
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","Käytä vain numeroita tässä kentässä. Älä käytä välilyöntejä  tai muita merkkejä kuten pisteitä tai pilkkuja."
"Please use only letters (a-z or A-Z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Käytä vain kirjaimia (a-z tai A-Z) tai numeroita (0-9) tässä kentässä. Välilyönnit tai muut merkit eivät ole sallittuja."
"Please use only letters (a-z or A-Z) or numbers (0-9) or spaces and # only in this field.","Käytä vain kirjaimia (a-z tai A-Z), numeroita (0-9), välilyöntejä tai # -merkkejä tässä kentässä."
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. "i", "l", "1") decrease chance of correct recognition by customer.","Käytä vain kirjaimia (a-z tai A-Z) tai numeroita (0-9) tässä kentässä. Välilyönnit tai muut merkit eivät ole sallittuja.<br/>Samalta näyttävät merkit (esim. "i", "l", "1") heikentävät asiakkaan sujuvaa vahvistamista."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Käytä vain kirjaimia (a-z tai A-Z), numeroita (0-9) tai alaviivaa (_) tässä kentässä. Ensimmäisen merkin tulee olla kirjain."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Käytä vain kirjaimia (a-z), numeroita (0-9) tai alaviivaa (_) tässä kentässä. Ensimmäisen merkin tulee olla kirjain."
"Please use only visible characters and spaces.","Käytä vain näkyviä merkkejä ja välilyöntejä."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Käytä seuraavaa päivämäärän muotoa: pp/kk/vvvv. Esimerkiksi 04/11/2013 on 4. marraskuuta 2013."
"Please wait, loading...","Hetkinen, ladataan..."
"Polls","Kyselyt"
"Port (25)","Portti (25)"
"Profiler","Profiloija"
"Recovery Link Expiration Period (days)","Uusimislinkin voimassaoloaika (päivinä)"
"Request Path for Specified Store","Pyydetty polku määritellylle kaupalle"
"Request path length exceeds allowed %s symbols.","Pyydetyn polun pituus ylittää sallitut %s merkkiä."
"Requested file may not include parent directory traversal (""../"", ""..\\ notation)""","Pyydetty tiedosto ei saa sisältää isäntähakemiston taaksepäin-ohjauksia (""../"", ""..\\ )"". "
"Requested invalid store ""%s""","Virheellinen pyydetty kauppa on ""%s""."
"Resource is not set.","Oikeutta ei ole asetettu. WK?"
"Retrieve info about current Magento installation","Nouda tietoja nykyisestä Magento-asennuksesta"
"Retrieve store data","Nouda kauppatiedot"
"Retrieve store list","Nouda kauppaluettelo"
"Return-Path Email","Sähköpostin vastausosoite"
"Root Category","Juuriluokka"
"Sales Representative","Myynti"
"Sales Representative Contact Email","Myynnin sähköpostiosoite"
"Sales Representative Contact Name","Myynnin yhteydenottonimi"
"Save","Tallenna"
"Save Store","Tallenna kauppa"
"Save Store View","Tallenna kauppanäkymä"
"Save Website","Tallenna sivusto"
"Search Engines Optimization","Hakukoneiden optimointi"
"Secure","Salattu (SSL)"
"Security","Turvallisuus"
"Select Date","Valitse päivä"
"Select Media Database","Valitse Media-tietokanta"
"Sender Email","Lähettäjän sähköposti"
"Sender Name","Lähettäjän nimi"
"Services","Palvelut"
"Session Cookie Management","Istunnon evästeet"
"Session Lifetime (seconds)","Istunnon elinaika (sekunteina)"
"Session Validation Settings","Session Validation Settings"
"Set Return-Path","Aseta vastausosoite"
"Set as Default","Aseta oletukseksi"
"Skin (Images / CSS)","Ulkoasu (Kuvat / CSS)"
"Sort Order","Järjestys"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Määritelty päivä/aika ""%1$s"" ei täsmää muodon ""%2$s"" kanssa.""
"Start date cannot be greater than end date.","Alkamispäivä ei voi olla myöhemmin kuin päättymispäivä."
"Startup Page","Aloitussivu"
"Status","Tila"
"Storage Configuration for Media","Median tallennusasetukset"
"Store","Kauppa"
"Store API","Kauppa API"
"Store Contact Address","Kaupan yhteysosoite"
"Store Contact Information","Kaupan yhteystiedot"
"Store Contact Telephone","Kaupan yhteyspuhelinnumero"
"Store Email Addresses","Kaupan sähköpostiosoitteet"
"Store Information","Kaupan tiedot"
"Store Name","Kaupan nimi"
"Store View","Kauppanäkymä"
"Store View Information","Kauppanäkymän tiedot"
"Store View Name","Kauppanäkymän nimi"
"Store view doesn't exist","Kauppanäkymää ei ole."
"Store with the same code","Kauppa samalla tunnuksella"
"Symbols Used in CAPTCHA","CAPTCHA:ssa käytetyt symbolit"
"System","Järjestelmä"
"System Log File Name","Järjestelmän lokitiedoston nimi"
"Template Path Hints","Mallipohjan polun vihjeet"
"Template Settings","Mallipohjien asetukset"
"Template Variables","Mallipohjan muuttujat"
"Templates","Mallipohjat"
"Text length does not satisfy specified text range.","Tekstin pituus ei täsmää määriteltyyn tekstialueeseen."
"The From Date value should be less than or equal to the To Date value.","Alkamispäivän täytyy olla aikaisemmin tai sama kuin päättymivpäivän."
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","Syöttämäsi %s on virheellinen. Varmista että muoto on ""http://palvelin.fi/""."
"The store code may contain only letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","Kaupan tunnus saa sisältää vain pieniä kirjaimia (a-z), numeroita (0-9) tai alaviivoja (_). Ensimmäisen merkin tulee olla kirjain."
"The store does not exist","Kauppaa ei ole."
"The store has been deleted.","Kauppa on poistettu."
"The store has been saved.","Kauppa on tallennettu."
"The store view has been deleted.","Kauppanäkymä on poistettu."
"The store view has been saved","Kauppanäkymä on tallennettu."
"The template Name must not be empty.","Pohjan nimi ei voi olla tyhjä."
"The value is not within the specified range.","Arvo ei ole määritellyissä rajoissa."
"The website does not exist.","Sivustoa ei ole."
"The website has been deleted.","Sivusto on poistettu."
"The website has been saved.","Sivusto on tallennettu."
"Themes","Teemat"
"This category and all its child elements","Tässä luokassa ja kaikissa sen alaelementeissä"
"This category and its child categories only","Vain tässä luokassa ja kaikissa sen alaluokissa"
"This category and its products only","Vain tämä luokka ja sen tuotteet"
"This category only","Vain tämä luokka"
"This date is a required value.","Päivämäärä on pakollinen."
"This is a required field.","Pakollinen tieto"
"This store cannot be deleted.","Tätä kauppaa ei voi poistaa."
"This store view cannot be deleted.","Tätä kauppanäkymää ei voi poistaa."
"This website cannot be deleted.","Tätä sivustoa ei voi poistaa."
"This will be displayed just before body closing tag.","Tämä lisätään sivun HTML:ään ennen body-lopetustagia."
"This will be included before head closing tag in page HTML.","Tämä lisätään sivun HTML:ään ennen head-lopetustagia."
"Timezone","Aikavyöhyke"
"Title Prefix","Otsikon etuliite"
"Title Suffix","Otsikon loppuliite"
"Transactional Emails","Sähköpostipohjat"
"Translate Inline","Kääntäminen suoraan tietokantaan"
"Translate, blocks and other output caches should be disabled for both frontend and admin inline translations.","Käännös, lohko ja muut output-välimuistit tulee kytkeä pois sekä kaupan puolen että ylläpidon käännöksissä."
"Translations","Käännökset"
"Two and more slashes together are not permitted in request path","Kaksi tai useampi vinoviivaa yhdessä ei ole sallittu tässä polussa."
"Two and more slashes together are not permitted in url rewrite suffix","Kaksi tai useampi vinoviivaa yhdessä ei ole sallittu url-uudelleenohjausloppuliitteessä."
"Unable to create directory: %s","Hakemistoa %s ei voida lisätä."
"Unable to delete store view. Please, try again later.","Kauppanäkymää ei voi poistaa. Yritä myöhemmin uudestaan."
"Unable to delete store. Please, try again later.","Kauppaa ei voi poistaa. Yritä myöhemmin uudestaan."
"Unable to delete website. Please, try again later.","Sivustoa ei voi poistaa. Yritä myöhemmin uudestaan."
"Unable to proceed. Please, try again","Suoritus ei onnistunut. Yritä uudestaan."
"Unable to proceed. Please, try again.","Suoritus ei onnistunut. Yritä uudestaan."
"Unable to save file ""%s"" at ""%s""","Tiedostoa ""%s"" kohteessa ""%s"" ei voi tallentaa."
"Unable to save file: %s","Tiedostoa %s ei voi tallentaa."
"Unknown old style column type definition: {$definition}.","Unknown old style column type definition: {$definition}."
"Unknown scope ""%s"".","Tuntematon näkymä ""%s""."
"Unsecure","Salaamaton (ei SSL)"
"Url Options","Osoiteasetukset"
"Use Custom Admin Path","Käytä mukailtua ylläpidon polkua"
"Use Custom Admin URL","Käytä mukailtua ylläpidon URL-osoitetta"
"Use HTTP Only","Käytä vain HTTP:tä"
"Use SID on Frontend","Käytä SID kaupan puolella"
"Use Secure URLs in Admin","Käytä salattuja URL-osoitteita ylläpidossa"
"Use Secure URLs in Frontend","Käytä salattuja URL-osoitteita kaupan puolella"
"Use Web Server Rewrites","Käytä palvelimen osoitteen uudelleenohjausta"
"VAT Number","Alv-numero"
"Validate HTTP_USER_AGENT","Vahvista HTTP_USER_AGENT"
"Validate HTTP_VIA","Vahvista HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Vahvista HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Vahvista REMOTE_ADDR"
"Validation has failed.","Vahvistaminen epäonnistui."
"Values less than 60 are ignored. Note that changes will apply after logout.","Pienemmät arvot kuin 60 hylätään. Huomaa että muutos tulee voimaan ulkoskirjautumisen jälkeen."
"Variable Code must be unique.","Muuttujan koodin täytyy olla ainutkertainen."
"Warning! Enabling this feature is not recommended on production environments because it represents a potential security risk.","Varoitus! Tämän toiminnon käyttäminen ei ole suositeltavaa tuotannollisissa ympäristöissä koska siihen sisältyy mahdollinen turvallisuusriski."
"Web","Internet"
"Website","Sivusto"
"Website Information","Sivuston tiedot"
"Website Name","Sivuston nimi"
"Website code may only contain letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","Sivuston koodi saa sisältää vain kirjaimia (a-z), numeroita (0-9) tai alaviivoja (_). Ensimmäisen merkin tulee olla kirjain."
"Website with the same code","Sivusto samalla koodilla."
"Weekend Days","Viikonlopun päivät"
"Welcome Text","Tervetuloa -teksti"
"Wrong file info format","Väärä tiedoston tiedon muoto."
"Wrong number of arguments for %s","Kohteella %s on virheellinen määrä muutujia."
"Wrong old style column type definition: {$definition}.","Wrong old style column type definition: {$definition}."
"Yes","Kyllä"
"You will have to log in after you save your custom admin path.","Sinun täytyy kirjautua sisään kun olet tallentanut muokatun ylläpidon polun."
"Your design change for the specified store intersects with another one, please specify another date range.","Your design change for the specified store intersects with another one, please specify another date range."
"database ""%s""","tietokanta ""%s"""
"Allowed file types: jpeg, gif, png.","Sallitut tiedostotyypit: jpeg, gif, png."
"Allowed file types: jpg, jpeg, gif, png","Sallitut tiedostotyypit: jpg, jpeg, gif, png"
"Display not required State","Näytä maakunnat jotka eivät ole pakollisia"
"Enable CAPTCHA in Admin","Käytä CAPTCHA ylläpidossa"
"Error: Passwords do not match","Virhe: Salasanat eivät täsmää"
"Example format: 200x300.","Esimerkiksi: 200x300."
"External Full Page Cache Settings","External Full Page Cache Settings"
