"Please enter a valid number in ""min_qty"" field","Kirjoita numero kenttään ''''min_qty''''"
"Please enter a valid number in ""min_sale_qty"" field","Kirjoita numero kenttään ''''min_sale_qty''''"
"Please enter a valid number in ""notify_stock_qty"" field","Kirjoita numero kenttään ''''notify_stock_qty''''"
"Please use numbers only in ""category_id"" field.","Käytä vain numeroita kentässä ''''category_id''''"
"Please use numbers only in ""qty_increments"" field. Please avoid spaces or other characters such as dots or commas.","Käytä vain numeroita kentäss ''''qty_increments''''. Älä käytä välilyöntejä tai muita merkkejä kuten pisteitä tai pilkkuja."
"Position","Sijainti"
"Price","Hinta"
"Price Including Tax","Verollinen hinta"
"Product","Tuote"
"Product Category","Tuotteen luokka"
"Product ID","Tuotenumero"
"Product Image","Tuotteen kuva"
"Product Type","Tuotetyyppi"
"Product URL","Tuotteen URL-osoite"
"Product Website","Tuotteen sivusto"
"Product and Custom Options Name","Product and Custom Options Name"
"Qty","Kpl"
"Qty Increments","Erämyynnin määrä"
"Qty Uses Decimals","Määrä desimaaleina"
"Qty for Item's Status to Become Out of Stock","Määrä jolloin tuotteen saatavuudeksi merkitään 'Loppu varastosta'"
"REST - Attributes","REST - Ominaisuudet"
"REST - Roles","REST - Roolit"
"REST ACL Attributes","REST ACL-ominaisuudet"
"REST Attributes","REST Ominaisuudet"
"REST Role","REST Rooli"
"REST Roles","REST Roolit"
"REST Roles Information","REST Roolien tiedot"
"Read","Lue"
"Refunded Qty","Hyvitysten määrä"
"Regular Price With Tax","Verollinen normaalihinta"
"Regular Price Without Tax","Veroton normaalihinta"
"Rest Roles","Rest Roolit"
"Retrieve","Nouda"
"Role ""%s"" no longer exists","Roolia ''''%s'''' ei enää ole."
"Role ""%s"" not found.","Roolia ''''%s'''' ei löydy."
"Role API Resources","Rooli API oikeudet"
"Role Info","Roolin tiedot"
"Role Information","Roolin tiedot"
"Role Name","Roolinimi"
"Role Users","Roolin käyttäjät"
"Role has been deleted.","Rooli on poistettu."
"Roles","Roolit"
"SKU","Tuotenumero"
"Salability Status","Salability Status"
"Sales","Myynti"
"Save","Tallenna"
"Shipped Qty","Toimitettu määrä"
"Shipping Amount","Toimituskulut"
"Shipping Discount","Toimituskulujen alennus"
"Shipping Including Tax","Verolliset toimituskulut"
"Shipping Method","Toimitustapa"
"Shipping Tax","Toimituksen verot"
"State","Maakunta"
"Stock Availability","Saatavuus"
"Stock ID","Varasto tunniste"
"Stock Item","Varastotuote"
"Stock Status","Varaston tila"
"Store Currency to Order Currency Rate","Store Currency to Order Currency Rate"
"Store Name","Kaupan nimi"
"Street","Katu"
"Subtotal","Välisumma"
"Subtotal Including Tax","Verollinen välisumma"
"System","Järjestelmä"
"Tax Amount","Veron määrä"
"Tax Name","Veron nimi"
"Tax Percent","Veroprosentti"
"Tax Rate","Verokanta"
"The ""enable_qty_increments"" field must be set to 0 or 1.","Kenttä ""enable_qty_increments"" täytyy asettaa arvoon 0 tai 1."
"The ""is_decimal_divided"" field must be set to 0 or 1.","Kenttä ''''is_decimal_divided'''' täytyy asettaa arvoon 0 tai 1."
"The ""is_in_stock"" field must be set to 0 or 1.","Kenttä ''''is_in_stock'''' täytyy asettaa arvoon 0 tai 1."
"The ""is_qty_decimal"" field must be set to 0 or 1.","Kenttä ''''is_qty_decimal'''' täytyy asettaa arvoon 0 tai 1."
"The ""is_qty_decimal"" field must be set to 0, 1, or 2.","Kenttä ''''is_qty_decimal'''' täytyy asettaa arvoon 0, 1 tai 2."
"The ""manage_stock"" field must be set to 0 or 1.","Kenttä ''''manage_stock'''' täytyy asettaa arvoon 0 tai 1."
"The ""stock_status_changed_auto"" field must be set to 0 or 1.","Kenttä ''''stock_status_changed_auto'''' täytyy asettaa arvoon 0 tai 1."
"The ""use_config_backorders"" field must be set to 0 or 1.","Kenttä ''''use_config_backorders'''' täytyy asettaa arvoon 0 tai 1."
"The ""use_config_enable_qty_inc"" field must be set to 0 or 1.","Kenttä ''''use_config_enable_qty_inc'''' täytyy asettaa arvoon 0 tai 1."
"The ""use_config_manage_stock"" field must be set to 0 or 1.","Kenttä ''''use_config_manage_stock'''' täytyy asettaa arvoon 0 tai 1."
"The ""use_config_max_sale_qty"" field must be set to 0 or 1.","Kenttä ''''use_config_max_sale_qty'''' täytyy asettaa arvoon 0 tai 1."
"The ""use_config_min_qty"" field must be set to 0 or 1.","Kenttä ''''use_config_min_qty'''' täytyy asettaa arvoon 0 tai 1."
"The ""use_config_min_sale_qty"" field must be set to 0 or 1.","Kenttä ''''use_config_min_sale_qty'''' täytyy asettaa arvoon 0 tai 1."
"The ""use_config_notify_stock_qty"" field must be set to 0 or 1.","Kenttä ''''use_config_notify_stock_qty'''' täytyy asettaa arvoon 0 tai 1."
"The ""use_config_qty_increments"" field must be set to 0 or 1.","Kenttä ''''use_config_qty_increments'''' täytyy asettaa arvoon 0 tai 1."
"The attribute rules were saved.","Ominaisuussäännöt on tallennettu."
"The role has been saved.","Rooli on tallennettu."
"The role is a special one and not for assigning it to admin users.","Rooli on erityinen ja sitä ei voi liittää ylläpitäjiin."
"Total Due","Maksamaton loppusumma"
"Total Paid","Maksettu loppusumma"
"Total Refunded","Hyvitetty loppusumma"
"Total Reviews Count","Arvioiden yhteismäärä"
"Type","Tyyppi"
"URL","URL-osoite"
"Update","Päivitä"
"Use Config Settings for Allow Gift Message","Käytä kokoonpanoasetuksia lahjaviestin sallimiseen"
"Use Config Settings for Allow Gift Wrapping","Use Config Settings for Allow Gift Wrapping"
"Use Config Settings for Backorders","Käytä kokoonpanoasetuksia jälkitilauksille"
"Use Config Settings for Enable Qty Increments","Use Config Settings for Enable Qty Increments"
"Use Config Settings for Manage Stock","Käytä kokoonpanoasetuksia varastonhallintaan"
"Use Config Settings for Maximum Qty Allowed in Shopping Cart","Käytä kokoonpanoasetuksia ostoskorin enimmäistuotemäärään"
"Use Config Settings for Minimum Qty Allowed in Shopping Cart","Käytä kokoonpanoasetuksia ostoskorin vähimmäistuotemäärään"
"Use Config Settings for Notify for Quantity Below","Use Config Settings for Notify for Quantity Below"
"Use Config Settings for Qty Increments","Käytä kokoonpanoasetuksia erämyynteihin"
"Use Config Settings for Qty for Item's Status to Become Out of Stock","Käytä kokoonpanoasetuksia varastosta loppuneeksi -tilan määrään"
"User Type","Käyttäjätyyppi"
"User type ""%s"" no longer exists","Käyttäjätyyppiä ''''%s'''' ei enää ole."
"User type ""%s"" not found.","Käyttäjätyyppiä ''''%s'''' ei löydy."
"Web Services","Web-palvelut"
"Web services","Web-palvelut"
"Write","Kirjoita"
"ZIP/Postal Code","Postinumero"
